Job Title,Category,Skills
Data Scientist,Data Science,"Python, SQL, Pandas, NumPy, Scikit-Learn, Machine Learning"
Machine Learning Engineer,Artificial Intelligence,"Python, TensorFlow, PyTorch, Machine Learning, Deep Learning, Docker"
AI Engineer,Artificial Intelligence,"Python, TensorFlow, NLP, Deep Learning, Git"
Backend Developer,Software Development,"Java, Spring Boot, MySQL, REST API, Git"
Frontend Developer,Software Development,"HTML, CSS, JavaScript, React, Git"
Full Stack Developer,Software Development,"HTML, CSS, JavaScript, React, Node.js, Express.js, MongoDB"
Cloud Engineer,Cloud,"AWS, Docker, Kubernetes, Linux, Git"
DevOps Engineer,DevOps,"Docker, Kubernetes, Jenkins, Linux, AWS"
Data Engineer,Data,"Python, SQL, Spark, Hadoop, Kafka"
Data Analyst,Data,"SQL, Excel, Power BI, Python, Pandas"
Business Intelligence Analyst,Data,"Power BI, SQL, Excel, Tableau"
NLP Engineer,Artificial Intelligence,"Python, NLP, TensorFlow, PyTorch, Transformers"
Computer Vision Engineer,Artificial Intelligence,"Python, OpenCV, TensorFlow, PyTorch"
MLOps Engineer,Artificial Intelligence,"Python, Docker, Kubernetes, MLflow, AWS"
Java Developer,Software Development,"Java, Spring Boot, MySQL, Git"
Python Developer,Software Development,"Python, Flask, FastAPI, SQL, Git"
React Developer,Software Development,"React, JavaScript, HTML, CSS"
Angular Developer,Software Development,"Angular, TypeScript, HTML, CSS"
Android Developer,Mobile,"Kotlin, Android, Git"
iOS Developer,Mobile,"Swift, iOS, Git"
Flutter Developer,Mobile,"Flutter, Dart, Firebase"
QA Engineer,Testing,"Selenium, Java, Testing, Git"
Automation Test Engineer,Testing,"Selenium, Python, Java, Jenkins"
Cybersecurity Analyst,Security,"Networking, Linux, Cybersecurity"
SOC Analyst,Security,"Cybersecurity, Networking, Linux"
Penetration Tester,Security,"Linux, Networking, Python"
Site Reliability Engineer,DevOps,"Linux, Docker, Kubernetes, AWS"
Database Administrator,Database,"SQL, MySQL, PostgreSQL, Linux"
Blockchain Developer,Blockchain,"Solidity, Ethereum, Git"
Game Developer,Gaming,"C++, Unity, Git"
Software Engineer,Software Development,"Python, Java, Git, SQL, OOP"
Software Engineer II,Software Development,"Java, Spring Boot, REST API, MySQL, Git"
Associate Software Engineer,Software Development,"Java, Python, SQL, Git"
Junior Backend Developer,Software Development,"Java, Spring Boot, REST API, MySQL"
Senior Backend Developer,Software Development,"Java, Spring Boot, Docker, Kubernetes, AWS"
Junior Frontend Developer,Software Development,"HTML, CSS, JavaScript, React"
Senior Frontend Developer,Software Development,"React, TypeScript, Redux, HTML, CSS"
MERN Stack Developer,Software Development,"MongoDB, Express.js, React, Node.js"
MEAN Stack Developer,Software Development,"MongoDB, Express.js, Angular, Node.js"
Node.js Developer,Software Development,"Node.js, Express.js, MongoDB, REST API"
Django Developer,Software Development,"Python, Django, PostgreSQL, Git"
Flask Developer,Software Development,"Python, Flask, SQL, REST API"
FastAPI Developer,Software Development,"Python, FastAPI, Docker, SQL"
Data Visualization Engineer,Data Science,"Python, Tableau, Power BI, Pandas"
Business Analyst,Business Intelligence,"SQL, Excel, Power BI, Communication"
BI Developer,Business Intelligence,"Power BI, SQL, DAX, Excel"
Big Data Engineer,Data Engineering,"Spark, Hadoop, Kafka, Python"
ETL Developer,Data Engineering,"SQL, Python, ETL, Informatica"
AWS Cloud Engineer,Cloud,"AWS, EC2, S3, IAM, Docker"
Azure Cloud Engineer,Cloud,"Azure, Docker, Kubernetes, Linux"
Google Cloud Engineer,Cloud,"GCP, Kubernetes, Docker, Linux"
Cloud Solutions Architect,Cloud,"AWS, Azure, Kubernetes, Terraform"
Docker Engineer,DevOps,"Docker, Linux, CI/CD, Git"
Kubernetes Engineer,DevOps,"Kubernetes, Docker, Linux, Helm"
Linux System Administrator,System Administration,"Linux, Bash, Networking, Git"
Network Engineer,Networking,"Networking, Cisco, Linux, TCP/IP"
Database Engineer,Database,"SQL, PostgreSQL, MySQL, Performance Tuning"
Oracle DBA,Database,"Oracle, SQL, PL/SQL, Database Administration"
Embedded Software Engineer,Embedded Systems,"C, C++, Embedded C, Microcontrollers"
IoT Developer,Embedded Systems,"C++, Python, MQTT, Raspberry Pi"
AI Research Engineer,Artificial Intelligence,"Python, PyTorch, Deep Learning, Research"
Deep Learning Engineer,Artificial Intelligence,"Python, TensorFlow, PyTorch, Deep Learning"
Generative AI Engineer,Artificial Intelligence,"Python, Transformers, LLM, PyTorch"
LLM Engineer,Artificial Intelligence,"Python, LangChain, Transformers, OpenAI API"
Prompt Engineer,Artificial Intelligence,"LLM, Prompt Engineering, Python"
Robotics Engineer,Robotics,"Python, ROS, C++, Computer Vision"
Autonomous Vehicle Engineer,Artificial Intelligence,"Python, Computer Vision, Deep Learning, ROS"
Computer Vision Scientist,Artificial Intelligence,"Python, OpenCV, TensorFlow, Deep Learning"
Speech Recognition Engineer,Artificial Intelligence,"Python, NLP, Deep Learning, PyTorch"
Recommendation System Engineer,Artificial Intelligence,"Python, Machine Learning, Pandas, SQL"

Software Architect,Software Development,"Java, Design Patterns, Spring Boot, Microservices"
Solution Architect,Software Development,"AWS, Java, REST API, Microservices"
Microservices Developer,Software Development,"Java, Spring Boot, Docker, Kubernetes"
API Developer,Software Development,"REST API, FastAPI, Flask, Python"
REST API Developer,Software Development,"Java, Spring Boot, REST API, JSON"
.NET Developer,Software Development,"C#, .NET, SQL Server, Git"
ASP.NET Developer,Software Development,"C#, ASP.NET, SQL Server"
PHP Developer,Software Development,"PHP, MySQL, Laravel"
Laravel Developer,Software Development,"PHP, Laravel, MySQL"
Go Developer,Software Development,"Go, REST API, Docker"

Rust Developer,Software Development,"Rust, Git, Linux"
Scala Developer,Software Development,"Scala, Spark, Hadoop"
Salesforce Developer,CRM,"Salesforce, Apex, SOQL"
SAP ABAP Developer,ERP,"SAP, ABAP, SQL"
SAP Consultant,ERP,"SAP, ERP, SQL"

Data Warehouse Engineer,Data Engineering,"SQL, Snowflake, ETL, Python"
Snowflake Developer,Data Engineering,"Snowflake, SQL, Python"
Power Platform Developer,Business Intelligence,"Power Apps, Power BI, SQL"
Tableau Developer,Business Intelligence,"Tableau, SQL, Data Visualization"
BI Consultant,Business Intelligence,"Power BI, Tableau, SQL"

Site Reliability Engineer II,DevOps,"Linux, Kubernetes, Docker, AWS"
Platform Engineer,DevOps,"Docker, Kubernetes, Terraform, AWS"
Infrastructure Engineer,Cloud,"AWS, Terraform, Linux"
Cloud Security Engineer,Cloud,"AWS, IAM, Cybersecurity, Linux"
Azure DevOps Engineer,DevOps,"Azure, Docker, Kubernetes, CI/CD"

Ethical Hacker,Cybersecurity,"Linux, Networking, Python, Penetration Testing"
Security Engineer,Cybersecurity,"Cybersecurity, Linux, SIEM"
SOC Engineer,Cybersecurity,"SIEM, Linux, Networking"
Unity Developer,Game Development,"Unity, C#, Git"
AR VR Developer,AR/VR,"Unity, C#, AR, VR"